mots actifs eligibles,,,,,,,,,
1 mai 2023 - 31 mai 2023,,,,,,,,,
Mot clé pour le Réseau de Recherche,Code de la devise,Éligible_Conversions,Éligible_Coût/conv.,Éligible_Taux de conv.,Éligible_Clics,Éligible_Impr.,Éligible_Coût,Éligible_CTR,Éligible_CPC moy.
magazine le monde des ado,EUR,0,--,0%,0,0,0,0%,--
magazine littérature jeunesse,EUR,0,--,0%,0,0,0,0%,--
magazine mensuel enfant,EUR,0,--,0%,0,0,0,0%,--
magazine mieux vivre votre argent abonnement,EUR,0,--,0%,7,58,"3,6","12,07%","0,51"
magazine mode ado,EUR,0,--,0%,1,1,"0,55",100%,"0,55"
magazine mode enfant,EUR,0,--,0%,0,0,0,0%,--
magazine nature enfant,EUR,0,--,0%,1,4,"0,46",25%,"0,46"
magazine pour ado,EUR,0,--,0%,4,35,"1,71","11,43%","0,43"
magazine pour ado de 16 ans,EUR,0,--,0%,0,5,0,0%,--
magazine pour ado fille,EUR,0,--,0%,0,0,0,0%,--
magazine pour ado fille 12 ans,EUR,0,--,0%,0,2,0,0%,--
magazine pour ado garçon,EUR,0,--,0%,0,1,0,0%,--
magazine pour adolescent,EUR,0,--,0%,0,6,0,0%,--
magazine pour ados,EUR,0,--,0%,2,32,"0,38","6,25%","0,19"
magazine pour enfant,EUR,0,--,0%,9,95,"4,62","9,47%","0,51"
magazine pour enfants,EUR,0,--,0%,3,40,"3,56","7,5%","1,19"
magazine pour jeune,EUR,0,--,0%,0,0,0,0%,--
magazine pour jeune fille,EUR,0,--,0%,6,47,"5,54","12,77%","0,92"
magazine pour jeunes,EUR,0,--,0%,4,41,"1,9","9,76%","0,48"
magazine pour les enfants,EUR,0,--,0%,2,22,"0,93","9,09%","0,47"
magazine pour les jeunes,EUR,0,--,0%,14,233,"6,25","6,01%","0,45"
magazine programme tv,EUR,0,--,0%,9,132,"4,54","6,82%","0,5"
magazine scientifique enfant,EUR,0,--,0%,0,0,0,0%,--
magazine scientifique jeunesse,EUR,0,--,0%,0,0,0,0%,--
magazine wider,EUR,0,--,0%,1,1,"0,72",100%,"0,72"
magazines ado,EUR,0,--,0%,2,66,"0,74","3,03%","0,37"
magazines adolescents,EUR,0,--,0%,0,0,0,0%,--
magazines ados,EUR,0,--,0%,0,7,0,0%,--
magazines enfant,EUR,0,--,0%,0,30,0,0%,--
magazines enfants,EUR,0,--,0%,4,43,"1,99","9,3%","0,5"
magazines jeunes,EUR,0,--,0%,0,1,0,0%,--
magazines jeunesse,EUR,0,--,0%,4,123,"1,31","3,25%","0,33"
magazines pour ado,EUR,0,--,0%,0,2,0,0%,--
magazines pour ados,EUR,0,--,0%,1,44,"0,36","2,27%","0,36"
magazines pour enfant,EUR,0,--,0%,3,29,"0,48","10,34%","0,16"
magazines pour enfants,EUR,0,--,0%,3,36,"0,84","8,33%","0,28"
magazines pour les ados,EUR,0,--,0%,0,0,0,0%,--
magazines pour les jeunes,EUR,0,--,0%,0,0,0,0%,--
meilleur magazine adolescent,EUR,0,--,0%,1,7,"0,84","14,29%","0,84"
meilleur magazine enfant,EUR,0,--,0%,0,0,0,0%,--
meilleur magazine jeunesse,EUR,0,--,0%,0,3,0,0%,--
mensuel enfant,EUR,0,--,0%,1,16,"1,21","6,25%","1,21"
mensuel pour enfant,EUR,0,--,0%,0,1,0,0%,--
milan magazine jeunesse,EUR,0,--,0%,0,0,0,0%,--
onze mondial abonnement,EUR,0,--,0%,18,118,"15,45","15,25%","0,86"
plus de mag,EUR,0,--,0%,1,29,"0,24","3,45%","0,24"
plus de mags,EUR,0,--,0%,0,5,0,0%,--
plusdemag,EUR,0,--,0%,0,1,0,0%,--
plusdemags,EUR,0,--,0%,3,20,"0,13",15%,"0,04"
premiere magazine,EUR,0,--,0%,15,173,"8,08","8,67%","0,54"
presse enfance,EUR,0,--,0%,1,55,"0,08","1,82%","0,08"
presse enfant,EUR,0,--,0%,3,31,"0,99","9,68%","0,33"
presse enfantine,EUR,0,--,0%,0,3,0,0%,--
presse enfants,EUR,0,--,0%,1,32,"0,97","3,13%","0,97"
presse jeune,EUR,0,--,0%,0,1,0,0%,--
